iter	Logloss
0	0.6399494171
1	0.5919141207
2	0.5500435259
3	0.5137849041
4	0.4810210931
5	0.4539149533
6	0.4298943111
7	0.4082144069
8	0.3894880122
9	0.3728546487
10	0.3586784632
11	0.3462636216
12	0.3352238689
13	0.325766017
14	0.3162180884
15	0.3087512633
16	0.3018906199
17	0.2960504058
18	0.2904126501
19	0.2853936826
20	0.2812561352
21	0.2775186941
22	0.2740000919
23	0.2707182654
24	0.2682734203
25	0.2658969894
26	0.2637300205
27	0.2617768106
28	0.2597457119
29	0.2581987452
30	0.2568751471
31	0.2554888782
32	0.2541680737
33	0.253077815
34	0.2521887596
35	0.2511642241
36	0.2504011123
37	0.2497315713
38	0.2490408132
39	0.2485581045
40	0.2481182808
41	0.2478037529
42	0.2475376582
43	0.2469579859
44	0.2466388786
45	0.2462638572
46	0.2458933809
47	0.2455820295
48	0.2452907414
49	0.2450827695
50	0.2449089706
51	0.2447184469
52	0.2445765347
53	0.2443817292
54	0.2440473174
55	0.243793831
56	0.2436225
57	0.2435170428
58	0.2433694119
59	0.2431676009
60	0.2430638073
61	0.2429325229
62	0.2428374618
63	0.2427323955
64	0.2426290593
65	0.2425608883
66	0.2424637757
67	0.242329677
68	0.2422827513
69	0.242219388
70	0.2421097768
71	0.24198929
72	0.2419086352
73	0.2418243773
74	0.2417626429
75	0.2417136103
76	0.2416395204
77	0.2415790469
78	0.2415114317
79	0.2414892083
80	0.2414358952
81	0.2413747199
82	0.2412324767
83	0.2411796011
84	0.241114859
85	0.2410636934
86	0.2410323412
87	0.2409573585
88	0.2409115261
89	0.2408568058
90	0.2408344062
91	0.2407578924
92	0.2407276091
93	0.2406830531
94	0.2406545236
95	0.2406291526
96	0.2405875666
97	0.2405329313
98	0.240492984
99	0.240423245
100	0.2403575204
101	0.2402518892
102	0.2401746945
103	0.2401178743
104	0.2400704818
105	0.2400446737
106	0.2399978132
107	0.2399976956
108	0.2399701609
109	0.239939355
110	0.2398963359
111	0.2398289944
112	0.2397706013
113	0.2396939619
114	0.2396608615
115	0.23964004
116	0.2396173487
117	0.239610317
118	0.2395785106
119	0.2395479128
120	0.2394981131
121	0.2394769824
122	0.2394560048
123	0.2394216243
124	0.2394038667
125	0.239357303
126	0.2393211382
127	0.2392495235
128	0.239192745
129	0.2391486507
130	0.2391341786
131	0.2391029819
132	0.2390753015
133	0.2390628171
134	0.2390242793
135	0.2390193422
136	0.2389876122
137	0.2389581766
138	0.2389335065
139	0.2389237709
140	0.238845839
141	0.2388210085
142	0.2388100929
143	0.2387993782
144	0.2387557955
145	0.2387395768
146	0.238712876
147	0.2386942282
148	0.2386823873
149	0.238607246
150	0.2385915455
151	0.2385422684
152	0.2385322218
153	0.2385126123
154	0.2384945158
155	0.2384741368
156	0.2384228695
157	0.2383881962
158	0.2383137866
159	0.2382798388
160	0.2382451674
161	0.238209642
162	0.2381844823
163	0.2381538726
164	0.2381233453
165	0.2380627881
166	0.2380363317
167	0.2379957413
168	0.2379535374
169	0.2379297995
170	0.237884214
171	0.2378540715
172	0.2377734903
173	0.23775616
174	0.2377538221
175	0.2377382188
176	0.2377283118
177	0.2376733568
178	0.2376494482
179	0.2376164333
180	0.2376065303
181	0.2375702781
182	0.237526061
183	0.2374686152
184	0.2374547278
185	0.2374183006
186	0.2374102064
187	0.2373394487
188	0.2372789631
189	0.2372547513
190	0.2372279107
191	0.2372022613
192	0.2371381305
193	0.2370624126
194	0.2370195601
195	0.2369599515
196	0.2368808326
197	0.2368115949
198	0.2367435753
199	0.2366924013
200	0.2366453772
201	0.236587967
202	0.2365536545
203	0.236516176
204	0.2364776636
205	0.2364190311
206	0.2363727426
207	0.2363377939
208	0.2363113705
209	0.2362575035
210	0.2361841097
211	0.2361104316
212	0.2360623113
213	0.2360210154
214	0.235928972
215	0.2358735241
216	0.2358117681
217	0.2357928632
218	0.2357416275
219	0.2356886746
220	0.2355944674
221	0.2355532213
222	0.2355013089
223	0.2354664232
224	0.2353811445
225	0.2353243734
226	0.2352569587
227	0.2352157179
228	0.2351465884
229	0.2350807503
230	0.2350100333
231	0.2349507258
232	0.2348801121
233	0.2347999139
234	0.2347372872
235	0.2346754201
236	0.234613467
237	0.2345527736
238	0.2344939675
239	0.2344354973
240	0.2343869357
241	0.2343455355
242	0.2343037694
243	0.2342457403
244	0.2341996512
245	0.2341277019
246	0.2340700064
247	0.2340260952
248	0.2339604112
249	0.2339350677
250	0.2338553345
251	0.2338088149
252	0.2337547987
253	0.2336650582
254	0.2336123461
255	0.2335057412
256	0.2334468368
257	0.2333842847
258	0.2333314392
259	0.233269478
260	0.2332329254
261	0.2331782
262	0.2331557706
263	0.2330811705
264	0.2330040725
265	0.2329656709
266	0.232910581
267	0.2328555135
268	0.2328146648
269	0.2327752941
270	0.2327075426
271	0.232637899
272	0.232578428
273	0.2325439467
274	0.2324872956
275	0.2324276949
276	0.2323693193
277	0.2323277404
278	0.2322674807
279	0.2322021921
280	0.2321433648
281	0.2320944746
282	0.2320429545
283	0.2319237417
284	0.2318785511
285	0.2317955532
286	0.2317393065
287	0.2316870747
288	0.2316474395
289	0.2315909705
290	0.2315298424
291	0.2314774157
292	0.2314319604
293	0.2313759283
294	0.2313115592
295	0.2312543931
296	0.2311987866
297	0.2311504849
298	0.2310921933
299	0.2310474984
300	0.2310185107
301	0.2309381475
302	0.2308822227
303	0.2308339331
304	0.2307949441
305	0.2307406244
306	0.2306724292
307	0.2306096907
308	0.2305271129
309	0.2304767901
310	0.2304245494
311	0.2303464755
312	0.2303138649
313	0.2302640174
314	0.2302170085
315	0.2301853576
316	0.2300970273
317	0.2300415308
318	0.2299857555
319	0.2299554308
320	0.2299162998
321	0.2298485745
322	0.2297960636
323	0.2297320855
324	0.2296747453
325	0.2296248402
326	0.2295639326
327	0.2294886873
328	0.2294025355
329	0.2293421734
330	0.2293065849
331	0.2292788407
332	0.2292284435
333	0.229129363
334	0.2290667091
335	0.2290213737
336	0.2289467379
337	0.2289201258
338	0.2288401508
339	0.2287755651
340	0.2287422378
341	0.2287045333
342	0.2286276252
343	0.2285509741
344	0.2284977996
345	0.2284320932
346	0.2284097496
347	0.2283746844
348	0.2283326188
349	0.2282922265
350	0.2282444619
351	0.2281988917
352	0.2281588072
353	0.2281114234
354	0.2280060232
355	0.2279503657
356	0.2278746006
357	0.2277839321
358	0.2277312411
359	0.2276618581
360	0.2276280773
361	0.2275717248
362	0.2275276942
363	0.2274631897
364	0.2274223213
365	0.2273784318
366	0.2273213095
367	0.2272464109
368	0.2271879905
369	0.2271353113
370	0.2270804423
371	0.2270470012
372	0.2269903061
373	0.2269330449
374	0.2269128867
375	0.2268635185
376	0.2268283816
377	0.226724724
378	0.2266727286
379	0.2266106662
380	0.2265597469
381	0.2265280858
382	0.2264707938
383	0.2263982496
384	0.226352325
385	0.2263069821
386	0.2262762778
387	0.2262299218
388	0.2261723399
389	0.2261388744
390	0.2260756033
391	0.2260042765
392	0.2259507694
393	0.2259061008
394	0.2258662178
395	0.2257915994
396	0.2257725313
397	0.2257356052
398	0.2256825774
399	0.225625132
400	0.2255970837
401	0.2255134031
402	0.2254706132
403	0.2254368324
404	0.2253209583
405	0.2252468139
406	0.225203834
407	0.2251681188
408	0.2251364405
409	0.2251093208
410	0.2250443859
411	0.2249848905
412	0.2249415571
413	0.2249025927
414	0.2248351851
415	0.224784932
416	0.224753617
417	0.2246935163
418	0.2246635332
419	0.224617594
420	0.2245975587
421	0.2245606411
422	0.2245089514
423	0.2244853786
424	0.2244390731
425	0.2243836617
426	0.2243355312
427	0.2242960458
428	0.224259521
429	0.2241951017
430	0.2241454272
431	0.2241043252
432	0.2240741683
433	0.2240524319
434	0.2240144187
435	0.2239371005
436	0.2238992217
437	0.2238465295
438	0.2237663816
439	0.2237224639
440	0.2236505679
441	0.2236271339
442	0.2235721562
443	0.2235122508
444	0.2234612933
445	0.2234139991
446	0.2233758479
447	0.2233370278
448	0.2232836801
449	0.2232451338
