iter	Passed	Remaining
0	134	133883
1	263	131464
2	405	134743
3	541	134813
4	675	134454
5	802	133009
6	932	132234
7	1062	131694
8	1188	130835
9	1310	129712
10	1439	129403
11	1570	129264
12	1704	129374
13	1837	129442
14	1969	129329
15	2116	130191
16	2244	129794
17	2390	130416
18	2519	130111
19	2655	130113
20	2792	130191
21	2946	130991
22	3068	130334
23	3202	130235
24	3335	130077
25	3474	130178
26	3596	129605
27	3741	129892
28	3861	129291
29	3988	128963
30	4112	128539
31	4235	128134
32	4321	126633
33	4450	126447
34	4573	126107
35	4697	125780
36	4829	125692
37	4959	125543
38	5086	125326
39	5171	124120
40	5310	124221
41	5436	124000
42	5494	122294
43	5634	122421
44	5753	122109
45	5877	121894
46	6002	121705
47	6127	121527
48	6252	121357
49	6376	121149
50	6505	121057
51	6632	120912
52	6759	120778
53	6877	120476
54	7008	120410
55	7129	120187
56	7252	119984
57	7372	119738
58	7508	119749
59	7635	119624
60	7765	119544
61	7834	118533
62	7960	118397
63	8081	118192
64	8202	117990
65	8323	117789
66	8445	117602
67	8562	117357
68	8687	117211
69	8806	117005
70	8924	116771
71	9052	116671
72	9170	116457
73	9294	116307
74	9412	116092
75	9538	115969
76	9672	115948
77	9812	115992
78	9942	115917
79	10088	116012
80	10208	115819
81	10340	115763
82	10458	115550
83	10576	115332
84	10710	115299
85	10837	115181
86	10969	115116
87	11105	115090
88	11239	115051
89	11382	115091
90	11510	114981
91	11654	115027
92	11868	115750
93	12037	116023
94	12195	116175
95	12341	116215
96	12467	116059
97	12620	116162
98	12806	116548
99	12980	116822
100	13151	117063
101	13275	116873
102	13402	116722
103	13529	116561
104	13659	116433
105	13788	116294
106	13919	116165
107	13979	115462
108	14109	115336
109	14239	115206
110	14367	115073
111	14498	114953
112	14633	114868
113	14758	114698
114	14875	114475
115	15009	114385
116	15132	114205
117	15263	114091
118	15387	113922
119	15516	113786
120	15647	113673
121	15766	113467
122	15890	113303
123	16021	113185
124	16148	113040
125	16273	112884
126	16410	112803
127	16546	112723
128	16679	112618
129	16818	112555
130	16947	112421
131	17068	112237
132	17198	112112
133	17331	112008
134	17466	111917
135	17608	111864
136	17740	111749
137	17870	111622
138	17968	111304
139	18103	111209
140	18233	111083
141	18356	110913
142	18490	110815
143	18632	110761
144	18764	110646
145	18891	110499
146	19017	110355
147	19144	110208
148	19277	110104
149	19404	109960
150	19536	109843
151	19658	109672
152	19796	109591
153	19923	109450
154	20049	109302
155	20184	109202
156	20318	109100
157	20455	109009
158	20698	109483
159	20918	109822
160	21082	109864
161	21262	109987
162	21410	109944
163	21551	109857
164	21696	109795
165	21876	109907
166	22039	109934
167	22167	109780
168	22294	109625
169	22421	109468
170	22550	109323
171	22666	109117
172	22789	108939
173	22908	108751
174	22967	108274
175	23086	108087
176	23214	107942
177	23346	107813
178	23475	107671
179	23607	107544
180	23747	107454
181	23881	107334
182	24003	107165
183	24134	107033
184	24261	106880
185	24392	106748
186	24526	106632
187	24650	106470
188	24773	106303
189	24898	106144
190	25024	105995
191	25152	105851
192	25277	105694
193	25399	105525
194	25525	105374
195	25656	105244
196	25778	105076
197	25899	104905
198	26018	104729
199	26140	104562
200	26259	104386
201	26389	104250
202	26514	104099
203	26640	103949
204	26759	103775
205	26879	103604
206	27005	103457
207	27127	103293
208	27240	103096
209	27361	102930
210	27482	102767
211	27604	102605
212	27723	102434
213	27851	102295
214	27973	102134
215	28100	101995
216	28223	101837
217	28338	101653
218	28463	101506
219	28580	101329
220	28702	101174
221	28829	101034
222	28958	100898
223	29087	100765
224	29217	100639
225	29340	100484
226	29461	100326
227	29580	100157
228	29698	99987
229	29813	99809
230	29935	99655
231	30062	99515
232	30194	99395
233	30320	99254
234	30443	99103
235	30566	98951
236	30688	98799
237	30812	98652
238	30931	98487
239	31054	98338
240	31175	98184
241	31299	98035
242	31412	97856
243	31531	97694
244	31655	97549
245	31779	97404
246	31898	97244
247	32018	97088
248	32141	96940
249	32264	96792
250	32382	96631
251	32505	96485
252	32625	96329
253	32744	96169
254	32883	96071
255	33030	95996
256	33191	95958
257	33315	95814
258	33481	95789
259	33613	95669
260	33744	95545
261	33893	95471
262	34066	95464
263	34210	95374
264	34358	95295
265	34523	95264
266	34705	95277
267	34862	95221
268	35002	95117
269	35149	95034
270	35287	94924
271	35492	94995
272	35682	95021
273	35885	95084
274	36018	94958
275	36143	94811
276	36259	94640
277	36382	94489
278	36512	94356
279	36636	94207
280	36766	94074
281	36894	93937
282	37012	93772
283	37126	93601
284	37255	93466
285	37373	93302
286	37490	93137
287	37615	92993
288	37743	92855
289	37868	92713
290	37993	92569
291	38118	92424
292	38243	92281
293	38366	92132
294	38489	91982
295	38611	91831
296	38731	91677
297	38857	91537
298	38983	91396
299	39113	91264
300	39230	91103
301	39356	90962
302	39483	90826
303	39601	90667
304	39727	90527
305	39846	90370
306	39965	90216
307	40083	90057
308	40208	89916
309	40333	89775
310	40458	89633
311	40587	89499
312	40710	89354
313	40840	89225
314	40962	89077
315	41091	88944
316	41212	88795
317	41338	88657
318	41460	88508
319	41587	88373
320	41719	88248
321	41852	88123
322	41979	87988
323	42100	87838
324	42216	87681
325	42342	87543
326	42462	87391
327	42589	87256
328	42714	87116
329	42835	86968
330	42956	86821
331	43081	86682
332	43206	86542
333	43327	86394
334	43445	86241
335	43566	86095
336	43682	85938
337	43805	85796
338	43927	85651
339	44060	85530
340	44179	85378
341	44306	85243
342	44438	85119
343	44569	84993
344	44696	84859
345	44820	84718
346	44949	84588
347	45073	84448
348	45194	84301
349	45323	84171
350	45457	84050
351	45580	83910
352	45715	83789
353	45839	83650
354	45964	83513
355	46089	83375
356	46215	83239
357	46337	83096
358	46461	82957
359	46585	82818
360	46712	82684
361	46833	82541
362	46953	82395
363	47082	82265
364	47215	82141
365	47344	82011
366	47472	81880
367	47589	81730
368	47720	81604
369	47846	81469
370	47974	81336
371	48094	81192
372	48217	81052
373	48338	80908
374	48471	80785
375	48593	80644
376	48725	80519
377	48841	80368
378	48959	80222
379	49085	80087
380	49220	79966
381	49337	79817
382	49463	79684
383	49586	79544
384	49712	79411
385	49836	79273
386	49959	79135
387	50089	79007
388	50211	78866
389	50336	78731
390	50458	78591
391	50584	78457
392	50709	78322
393	50837	78191
394	50957	78048
395	51085	77918
396	51204	77773
397	51335	77648
398	51451	77500
399	51573	77360
400	51705	77235
401	51832	77104
402	51957	76968
403	52078	76828
404	52205	76696
405	52325	76555
406	52444	76411
407	52568	76275
408	52696	76145
409	52816	76004
410	52940	75868
411	53063	75731
412	53177	75581
413	53303	75448
414	53424	75308
415	53543	75166
416	53667	75030
417	53794	74900
418	53917	74764
419	54042	74630
420	54167	74495
421	54291	74361
422	54412	74222
423	54537	74088
424	54664	73958
425	54789	73824
426	54913	73689
427	55028	73543
428	55152	73408
429	55272	73268
430	55403	73142
431	55529	73011
432	55653	72876
433	55779	72745
434	55907	72615
435	56033	72483
436	56161	72355
437	56292	72229
438	56419	72098
439	56539	71959
440	56673	71838
441	56797	71704
442	56920	71568
443	57042	71431
444	57169	71301
445	57293	71167
446	57410	71024
447	57539	70897
448	57666	70766
449	57796	70640
450	57920	70505
451	58044	70373
452	58160	70229
453	58286	70097
454	58411	69965
455	58537	69834
456	58653	69691
457	58773	69552
458	58894	69416
459	59010	69273
460	59134	69139
461	59257	69005
462	59379	68870
463	59507	68741
464	59636	68614
465	59767	68488
466	59891	68355
467	60010	68216
468	60130	68079
469	60253	67945
470	60381	67817
471	60502	67681
472	60618	67539
473	60751	67416
474	60868	67275
475	60997	67148
476	61114	67008
477	61236	66873
478	61360	66740
479	61482	66605
480	61599	66466
481	61722	66332
482	61849	66202
483	61977	66075
484	62103	65945
485	62229	65814
486	62356	65685
487	62490	65563
488	62614	65431
489	62742	65303
490	62870	65175
491	62999	65048
492	63130	64923
493	63249	64786
494	63374	64654
495	63491	64515
496	63614	64382
497	63742	64254
498	63869	64125
499	63990	63990
500	64115	63859
501	64239	63727
502	64364	63596
503	64486	63462
504	64615	63336
505	64734	63199
506	64861	63070
507	64978	62931
508	65104	62802
509	65230	62672
510	65354	62541
511	65480	62411
512	65611	62285
513	65733	62153
514	65854	62018
515	65969	61878
516	66093	61746
517	66210	61608
518	66329	61472
519	66450	61338
520	66581	61214
